id,country_name,state_name,county_code_fips,county_name,Latitude,longitude,confirmed,deaths,recovered,active,refresh_date,combined_key,last_updated,incidence_rate,case_fatality_ratio
0,Afghanistan,,,,33.93911,67.709953,157734,7332,,,2021-12-17,Afghanistan,2021-12-18 02:22:20+00:00,405.1906553,4.648332002
1,Albania,,,,41.1533,20.1683,205224,3158,,,2021-12-17,Albania,2021-12-18 02:22:20+00:00,7131.28084,1.538806377
2,Algeria,,,,28.0339,1.6596,214044,6175,,,2021-12-17,Algeria,2021-12-18 02:22:20+00:00,488.1160979,2.884920857
3,Andorra,,,,42.5063,1.5218,20549,134,,,2021-12-17,Andorra,2021-12-18 02:22:20+00:00,26595.48308,0.652099859
4,Angola,,,,-11.2027,17.8739,65760,1738,,,2021-12-17,Angola,2021-12-18 02:22:20+00:00,200.0835629,2.642944039
5,Antigua and Barbuda,,,,17.0608,-61.7964,4186,117,,,2021-12-17,Antigua and Barbuda,2021-12-18 02:22:20+00:00,4274.569071,2.795031056
6,Argentina,,,,-38.4161,-63.6167,5382290,116892,,,2021-12-17,Argentina,2021-12-18 02:22:20+00:00,11908.83387,2.171789331
7,Armenia,,,,40.0691,45.0382,343350,7885,,,2021-12-17,Armenia,2021-12-18 02:22:20+00:00,11587.00258,2.296490462
8,Australia,Australian Capital Territory,,,-35.4735,149.0124,2260,15,,,2021-12-17,"Australian Capital Territory, Australia",2021-12-18 02:22:20+00:00,527.9140388,0.663716814
9,Australia,New South Wales,,,-33.8688,151.2093,95000,643,,,2021-12-17,"New South Wales, Australia",2021-12-18 02:22:20+00:00,1170.238975,0.676842105
10,Australia,Northern Territory,,,-12.4634,130.8456,348,1,,,2021-12-17,"Northern Territory, Australia",2021-12-18 02:22:20+00:00,141.6938111,0.287356322
11,Australia,Queensland,,,-27.4698,153.0251,2258,7,,,2021-12-17,"Queensland, Australia",2021-12-18 02:22:20+00:00,44.14035774,0.310008857
12,Australia,South Australia,,,-34.9285,138.6007,1143,4,,,2021-12-17,"South Australia, Australia",2021-12-18 02:22:20+00:00,65.07258753,0.349956255
13,Australia,Tasmania,,,-42.8821,147.3272,244,13,,,2021-12-17,"Tasmania, Australia",2021-12-18 02:22:20+00:00,45.56489262,5.327868852
14,Australia,Victoria,,,-37.8136,144.9631,144411,1450,,,2021-12-17,"Victoria, Australia",2021-12-18 02:22:20+00:00,2178.17765,1.004078637
15,Australia,Western Australia,,,-31.9505,115.8605,1125,9,,,2021-12-17,"Western Australia, Australia",2021-12-18 02:22:20+00:00,42.76590892,0.8
16,Austria,,,,47.5162,14.5501,1245232,13438,,,2021-12-17,Austria,2021-12-18 02:22:20+00:00,13826.07923,1.079156334
17,Azerbaijan,,,,40.1431,47.5769,608815,8167,,,2021-12-17,Azerbaijan,2021-12-18 02:22:20+00:00,6004.581241,1.341458407
18,Bahamas,,,,25.025885,-78.035889,22995,713,,,2021-12-17,Bahamas,2021-12-18 02:22:20+00:00,5847.455041,3.10067406
19,Bahrain,,,,26.0275,50.55,278309,1394,,,2021-12-17,Bahrain,2021-12-18 02:22:20+00:00,16355.88743,0.500882113
20,Bangladesh,,,,23.685,90.3563,1580750,28043,,,2021-12-17,Bangladesh,2021-12-18 02:22:20+00:00,959.8372228,1.774031314
21,Barbados,,,,13.1939,-59.5432,27126,256,,,2021-12-17,Barbados,2021-12-18 02:22:20+00:00,9439.365837,0.943744009
22,Belarus,,,,53.7098,27.9534,681517,5355,,,2021-12-17,Belarus,2021-12-18 02:22:20+00:00,7212.338326,0.785747091
23,Belgium,Antwerp,,,51.2195,4.4024,288024,0,,,2021-12-17,"Antwerp, Belgium",2021-12-18 02:22:20+00:00,15501.94673,0
24,Belgium,Brussels,,,50.8503,4.3517,231030,0,,,2021-12-17,"Brussels, Belgium",2021-12-18 02:22:20+00:00,19116.42293,0
25,Belgium,East Flanders,,,51.0362,3.7373,247493,0,,,2021-12-17,"East Flanders, Belgium",2021-12-18 02:22:20+00:00,16335.48154,0
26,Belgium,Flemish Brabant,,,50.9167,4.5833,171892,0,,,2021-12-17,"Flemish Brabant, Belgium",2021-12-18 02:22:20+00:00,14997.0118,0
27,Belgium,Hainaut,,,50.5257,4.0621,240301,0,,,2021-12-17,"Hainaut, Belgium",2021-12-18 02:22:20+00:00,17876.33319,0
28,Belgium,Liege,,,50.4496,5.8492,216784,0,,,2021-12-17,"Liege, Belgium",2021-12-18 02:22:20+00:00,19583.15869,0
29,Belgium,Limburg,,,50.9739,5.342,131877,0,,,2021-12-17,"Limburg, Belgium",2021-12-18 02:22:20+00:00,15088.07297,0
30,Belgium,Luxembourg,,,50.0547,5.4677,53218,0,,,2021-12-17,"Luxembourg, Belgium",2021-12-18 02:22:20+00:00,18696.73058,0
31,Belgium,Namur,,,50.331,4.8221,95698,0,,,2021-12-17,"Namur, Belgium",2021-12-18 02:22:20+00:00,19359.32838,0
32,Belgium,Unknown,,,,,32109,27763,,,2021-12-17,"Unknown, Belgium",2021-12-18 02:22:20+00:00,,86.46485409
33,Belgium,Walloon Brabant,,,50.4,4.35,75421,0,,,2021-12-17,"Walloon Brabant, Belgium",2021-12-18 02:22:20+00:00,18687.1127,0
34,Belgium,West Flanders,,,51.0536,3.1458,206313,0,,,2021-12-17,"West Flanders, Belgium",2021-12-18 02:22:20+00:00,17253.19369,0
35,Belize,,,,17.1899,-88.4976,31246,589,,,2021-12-17,Belize,2021-12-18 02:22:20+00:00,7858.236864,1.885041285
36,Benin,,,,9.3077,2.3158,24907,161,,,2021-12-17,Benin,2021-12-18 02:22:20+00:00,205.4490902,0.646404625
37,Bhutan,,,,27.5142,90.4336,2656,3,,,2021-12-17,Bhutan,2021-12-18 02:22:20+00:00,344.2144497,0.112951807
38,Bolivia,,,,-16.2902,-63.5887,560684,19391,,,2021-12-17,Bolivia,2021-12-18 02:22:20+00:00,4803.243443,3.458454317
39,Bosnia and Herzegovina,,,,43.9159,17.6791,284272,13121,,,2021-12-17,Bosnia and Herzegovina,2021-12-18 02:22:20+00:00,8664.676308,4.6156498
40,Botswana,,,,-22.3285,24.6849,199864,2425,,,2021-12-17,Botswana,2021-12-18 02:22:20+00:00,8498.974114,1.213325061
41,Brazil,Acre,,,-9.0238,-70.812,88308,1850,,,2021-12-17,"Acre, Brazil",2021-12-18 02:22:20+00:00,10012.98282,2.094940436
42,Brazil,Alagoas,,,-9.5713,-36.782,241860,6374,,,2021-12-17,"Alagoas, Brazil",2021-12-18 02:22:20+00:00,7247.052083,2.635408914
43,Brazil,Amapa,,,0.902,-52.003,125913,2008,,,2021-12-17,"Amapa, Brazil",2021-12-18 02:22:20+00:00,14888.06725,1.594751932
44,Brazil,Amazonas,,,-3.4168,-65.8561,432180,13819,,,2021-12-17,"Amazonas, Brazil",2021-12-18 02:22:20+00:00,10427.55182,3.197510297
45,Brazil,Bahia,,,-12.5797,-41.7007,1264804,27421,,,2021-12-17,"Bahia, Brazil",2021-12-18 02:22:20+00:00,8503.990839,2.168003896
46,Brazil,Ceara,,,-5.4984,-39.3206,953456,24742,,,2021-12-17,"Ceara, Brazil",2021-12-18 02:22:20+00:00,10440.7343,2.594980786
47,Brazil,Distrito Federal,,,-15.7998,-47.8645,518532,11077,,,2021-12-17,"Distrito Federal, Brazil",2021-12-18 02:22:20+00:00,17196.87935,2.13622303
48,Brazil,Espirito Santo,,,-19.1834,-40.3089,626207,13267,,,2021-12-17,"Espirito Santo, Brazil",2021-12-18 02:22:20+00:00,15582.52149,2.118628505
49,Brazil,Goias,,,-15.827,-49.8362,943102,24604,,,2021-12-17,"Goias, Brazil",2021-12-18 02:22:20+00:00,13437.65219,2.608837644
50,Brazil,Maranhao,,,-4.9609,-45.2744,368452,10345,,,2021-12-17,"Maranhao, Brazil",2021-12-18 02:22:20+00:00,5207.668892,2.807692725
51,Brazil,Mato Grosso,,,-12.6819,-56.9211,551825,13771,,,2021-12-17,"Mato Grosso, Brazil",2021-12-18 02:22:20+00:00,15836.71644,2.495537535
52,Brazil,Mato Grosso do Sul,,,-20.7722,-54.7852,379502,9704,,,2021-12-17,"Mato Grosso do Sul, Brazil",2021-12-18 02:22:20+00:00,13656.13213,2.557035273
53,Brazil,Minas Gerais,,,-18.5122,-44.555,2216223,56516,,,2021-12-17,"Minas Gerais, Brazil",2021-12-18 02:22:20+00:00,10469.29416,2.550104389
54,Brazil,Para,,,-1.9981,-54.9306,618459,17016,,,2021-12-17,"Para, Brazil",2021-12-18 02:22:20+00:00,7188.988785,2.751354576
55,Brazil,Paraiba,,,-7.24,-36.782,462620,9565,,,2021-12-17,"Paraiba, Brazil",2021-12-18 02:22:20+00:00,11513.32449,2.067571657
56,Brazil,Parana,,,-25.2521,-52.0215,1591523,40852,,,2021-12-17,"Parana, Brazil",2021-12-18 02:22:20+00:00,13919.26697,2.566849489
57,Brazil,Pernambuco,,,-8.8137,-36.9541,643383,20350,,,2021-12-17,"Pernambuco, Brazil",2021-12-18 02:22:20+00:00,6732.010257,3.162968248
58,Brazil,Piaui,,,-7.7183,-42.7289,333846,7237,,,2021-12-17,"Piaui, Brazil",2021-12-18 02:22:20+00:00,10199.29262,2.167765976
59,Brazil,Rio Grande do Norte,,,-5.4026,-36.9541,384791,7533,,,2021-12-17,"Rio Grande do Norte, Brazil",2021-12-18 02:22:20+00:00,10972.54433,1.957686121
60,Brazil,Rio Grande do Sul,,,-30.0346,-51.2177,1499247,36337,,,2021-12-17,"Rio Grande do Sul, Brazil",2021-12-18 02:22:20+00:00,13177.59959,2.423683356
61,Brazil,Rio de Janeiro,,,-22.9068,-43.1729,1349569,69308,,,2021-12-17,"Rio de Janeiro, Brazil",2021-12-18 02:22:20+00:00,7816.817003,5.135565503
62,Brazil,Rondonia,,,-11.5057,-63.5806,281868,6692,,,2021-12-17,"Rondonia, Brazil",2021-12-18 02:22:20+00:00,15860.00647,2.374160955
63,Brazil,Roraima,,,-2.7376,-62.0751,128770,2068,,,2021-12-17,"Roraima, Brazil",2021-12-18 02:22:20+00:00,21257.55867,1.605964122
64,Brazil,Santa Catarina,,,-27.2423,-50.2189,1238165,20110,,,2021-12-17,"Santa Catarina, Brazil",2021-12-18 02:22:20+00:00,17281.25103,1.624177715
65,Brazil,Sao Paulo,,,-23.5505,-46.6333,4449806,154848,,,2021-12-17,"Sao Paulo, Brazil",2021-12-18 02:22:20+00:00,9690.544767,3.479882044
66,Brazil,Sergipe,,,-10.5741,-37.3857,278417,6054,,,2021-12-17,"Sergipe, Brazil",2021-12-18 02:22:20+00:00,12111.95391,2.174436187
67,Brazil,Tocantins,,,-10.1753,-48.2982,234113,3927,,,2021-12-17,"Tocantins, Brazil",2021-12-18 02:22:20+00:00,14884.48476,1.677395104
68,Brunei,,,,4.5353,114.7277,15385,98,,,2021-12-17,Brunei,2021-12-18 02:22:20+00:00,3516.708078,0.636984075
69,Bulgaria,,,,42.7339,25.4858,723433,30014,,,2021-12-17,Bulgaria,2021-12-18 02:22:20+00:00,10411.43738,4.148829263
70,Burkina Faso,,,,12.2383,-1.5616,16672,296,,,2021-12-17,Burkina Faso,2021-12-18 02:22:20+00:00,79.75782554,1.775431862
71,Burma,,,,21.9162,95.956,527931,19208,,,2021-12-17,Burma,2021-12-18 02:22:20+00:00,970.2867098,3.638354255
72,Burundi,,,,-3.3731,29.9189,21422,38,,,2021-12-17,Burundi,2021-12-18 02:22:20+00:00,180.1563749,0.177387732
73,Cabo Verde,,,,16.5388,-23.0418,38557,351,,,2021-12-17,Cabo Verde,2021-12-18 02:22:20+00:00,6934.861903,0.910340535
74,Cambodia,,,,11.55,104.9167,120405,3001,,,2021-12-17,Cambodia,2021-12-18 02:22:20+00:00,720.1699195,2.492421411
75,Cameroon,,,,3.848,11.5021,107662,1836,,,2021-12-17,Cameroon,2021-12-18 02:22:20+00:00,405.5697716,1.705337073
76,Canada,Alberta,,,53.9333,-116.5765,341023,3286,,,2021-12-17,"Alberta, Canada",2021-12-18 02:22:20+00:00,7727.435258,0.963571372
77,Canada,British Columbia,,,53.7267,-127.6476,225785,2399,,,2021-12-17,"British Columbia, Canada",2021-12-18 02:22:20+00:00,4417.700385,1.062515225
78,Canada,Diamond Princess,,,,,0,1,,,2021-12-17,"Diamond Princess, Canada",2020-12-21 13:27:30+00:00,,
79,Canada,Grand Princess,,,,,13,0,,,2021-12-17,"Grand Princess, Canada",2020-12-21 13:27:30+00:00,,0
80,Canada,Manitoba,,,53.7609,-98.8139,70785,1360,,,2021-12-17,"Manitoba, Canada",2021-12-18 02:22:20+00:00,5138.593571,1.921311012
81,Canada,New Brunswick,,,46.5653,-66.4619,10313,146,,,2021-12-17,"New Brunswick, Canada",2021-12-18 02:22:20+00:00,1322.191353,1.415688936
82,Canada,Newfoundland and Labrador,,,53.1355,-57.6604,2152,18,,,2021-12-17,"Newfoundland and Labrador, Canada",2021-12-18 02:22:20+00:00,412.7626519,0.836431227
83,Canada,Northwest Territories,,,64.8255,-124.8457,2082,12,,,2021-12-17,"Northwest Territories,Canada",2021-12-18 02:22:20+00:00,4636.55799,0.576368876
84,Canada,Nova Scotia,,,44.682,-63.7443,9202,110,,,2021-12-17,"Nova Scotia, Canada",2021-12-18 02:22:20+00:00,941.4224871,1.195392306
85,Canada,Nunavut,,,70.2998,-83.1076,676,4,,,2021-12-17,"Nunavut, Canada",2021-12-18 02:22:20+00:00,1743.166581,0.591715976
86,Canada,Ontario,,,51.2538,-85.3232,652219,10161,,,2021-12-17,"Ontario, Canada",2021-12-18 02:22:20+00:00,4433.297102,1.557912296
87,Canada,Prince Edward Island,,,46.5107,-63.4168,420,0,,,2021-12-17,"Prince Edward Island, Canada",2021-12-18 02:22:20+00:00,265.5572276,0
88,Canada,Quebec,,,52.9399,-73.5491,478245,11634,,,2021-12-17,"Quebec, Canada",2021-12-18 02:22:20+00:00,5601.584225,2.432644356
89,Canada,Repatriated Travellers,,,,,13,0,,,2021-12-17,"Repatriated Travellers, Canada",2021-12-18 02:22:20+00:00,,0
90,Canada,Saskatchewan,,,52.9399,-106.4509,82069,942,,,2021-12-17,"Saskatchewan, Canada",2021-12-18 02:22:20+00:00,6945.194327,1.147814644
91,Canada,Yukon,,,64.2823,-135,1621,14,,,2021-12-17,"Yukon, Canada",2021-12-18 02:22:20+00:00,3946.151224,0.863664405
92,Central African Republic,,,,6.6111,20.9394,11961,101,,,2021-12-17,Central African Republic,2021-12-18 02:22:20+00:00,247.6518521,0.844411002
93,Chad,,,,15.4542,18.7322,5703,181,,,2021-12-17,Chad,2021-12-18 02:22:20+00:00,34.71964541,3.173768192
94,Chile,Antofagasta,,,-23.6509,-70.3975,66277,1279,,,2021-12-17,"Antofagasta, Chile",2021-12-18 02:22:20+00:00,10909.18368,1.929779562
95,Chile,Araucania,,,-38.9489,-72.3311,103014,1547,,,2021-12-17,"Araucania, Chile",2021-12-18 02:22:20+00:00,10761.74438,1.501737628
96,Chile,Arica y Parinacota,,,-18.594,-69.4785,28756,546,,,2021-12-17,"Arica y Parinacota, Chile",2021-12-18 02:22:20+00:00,12720.06653,1.898734177
97,Chile,Atacama,,,-27.5661,-70.0503,30384,377,,,2021-12-17,"Atacama, Chile",2021-12-18 02:22:20+00:00,10515.53242,1.240784623
98,Chile,Aysen,,,-45.9864,-73.7669,10158,92,,,2021-12-17,"Aysen, Chile",2021-12-18 02:22:20+00:00,9847.030768,0.905690096
99,Chile,Biobio,,,-37.4464,-72.1416,165241,2799,,,2021-12-17,"Biobio, Chile",2021-12-18 02:22:20+00:00,10614.11031,1.693889531